MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2020-03,Albion Park Station,Train,Entry,5530
2020-03,Albion Park Station,Train,Exit,4930
2020-04,Albion Park Station,Train,Entry,1520
2020-04,Albion Park Station,Train,Exit,1290
2020-05,Albion Park Station,Train,Entry,2340
2020-05,Albion Park Station,Train,Exit,2000
2020-06,Albion Park Station,Train,Entry,3520
2020-06,Albion Park Station,Train,Exit,2950
2020-07,Albion Park Station,Train,Entry,4070
2020-07,Albion Park Station,Train,Exit,3550
2020-08,Albion Park Station,Train,Entry,3500
2020-08,Albion Park Station,Train,Exit,2810
2020-09,Albion Park Station,Train,Entry,3760
2020-09,Albion Park Station,Train,Exit,3120
2020-10,Albion Park Station,Train,Entry,4360
2020-10,Albion Park Station,Train,Exit,3630
2020-11,Albion Park Station,Train,Entry,4030
2020-11,Albion Park Station,Train,Exit,3460
2020-12,Albion Park Station,Train,Entry,3860
2020-12,Albion Park Station,Train,Exit,3410
2021-01,Albion Park Station,Train,Entry,3440
2021-01,Albion Park Station,Train,Exit,3000
2021-02,Albion Park Station,Train,Entry,3860
2021-02,Albion Park Station,Train,Exit,3260
2021-03,Albion Park Station,Train,Entry,4680
2021-03,Albion Park Station,Train,Exit,3910
2021-04,Albion Park Station,Train,Entry,4640
2021-04,Albion Park Station,Train,Exit,3960
2021-05,Albion Park Station,Train,Entry,4400
2021-05,Albion Park Station,Train,Exit,3760
2021-06,Albion Park Station,Train,Entry,3830
2021-06,Albion Park Station,Train,Exit,3420
2021-07,Albion Park Station,Train,Entry,1200
2021-07,Albion Park Station,Train,Exit,1080
2021-08,Albion Park Station,Train,Entry,1240
2021-08,Albion Park Station,Train,Exit,1080
2021-09,Albion Park Station,Train,Entry,970
2021-09,Albion Park Station,Train,Exit,880
2021-10,Albion Park Station,Train,Entry,1640
2021-10,Albion Park Station,Train,Exit,1390
2021-11,Albion Park Station,Train,Entry,5060
2021-11,Albion Park Station,Train,Exit,4540
2021-12,Albion Park Station,Train,Entry,3040
2021-12,Albion Park Station,Train,Exit,2580
2022-01,Albion Park Station,Train,Entry,2480
2022-01,Albion Park Station,Train,Exit,2150
2022-02,Albion Park Station,Train,Entry,2820
2022-02,Albion Park Station,Train,Exit,2460
2022-03,Albion Park Station,Train,Entry,2760
2022-03,Albion Park Station,Train,Exit,2210
2022-04,Albion Park Station,Train,Entry,3100
2022-04,Albion Park Station,Train,Exit,2570
2022-05,Albion Park Station,Train,Entry,4500
2022-05,Albion Park Station,Train,Exit,4090
2022-06,Albion Park Station,Train,Entry,4430
2022-06,Albion Park Station,Train,Exit,3780
2022-07,Albion Park Station,Train,Entry,3390
2022-07,Albion Park Station,Train,Exit,2870
2022-08,Albion Park Station,Train,Entry,4210
2022-08,Albion Park Station,Train,Exit,3490
2022-09,Albion Park Station,Train,Entry,4690
2022-09,Albion Park Station,Train,Exit,3930
2022-10,Albion Park Station,Train,Entry,4730
2022-10,Albion Park Station,Train,Exit,4210
2022-11,Albion Park Station,Train,Entry,5650
2022-11,Albion Park Station,Train,Exit,5140
2022-12,Albion Park Station,Train,Entry,4830
2022-12,Albion Park Station,Train,Exit,4050
2023-01,Albion Park Station,Train,Entry,4970
2023-01,Albion Park Station,Train,Exit,4410
2023-02,Albion Park Station,Train,Entry,5140
2023-02,Albion Park Station,Train,Exit,4440
2023-03,Albion Park Station,Train,Entry,5740
2023-03,Albion Park Station,Train,Exit,5060
2023-04,Albion Park Station,Train,Entry,4970
2023-04,Albion Park Station,Train,Exit,4390
2023-05,Albion Park Station,Train,Entry,5870
2023-05,Albion Park Station,Train,Exit,5050
2023-06,Albion Park Station,Train,Entry,5800
2023-06,Albion Park Station,Train,Exit,5380
2023-07,Albion Park Station,Train,Entry,5780
2023-07,Albion Park Station,Train,Exit,5000
2023-08,Albion Park Station,Train,Entry,6440
2023-08,Albion Park Station,Train,Exit,5610
2023-09,Albion Park Station,Train,Entry,6090
2023-09,Albion Park Station,Train,Exit,5310
2023-10,Albion Park Station,Train,Entry,6610
2023-10,Albion Park Station,Train,Exit,5780
2023-11,Albion Park Station,Train,Entry,6670
2023-11,Albion Park Station,Train,Exit,6020
2023-12,Albion Park Station,Train,Entry,5600
2023-12,Albion Park Station,Train,Exit,4900
2024-01,Albion Park Station,Train,Entry,6130
2024-01,Albion Park Station,Train,Exit,5440
2024-02,Albion Park Station,Train,Entry,6470
2024-02,Albion Park Station,Train,Exit,5680
2024-03,Albion Park Station,Train,Entry,8570
2024-03,Albion Park Station,Train,Exit,7970
2024-04,Albion Park Station,Train,Entry,5350
2024-04,Albion Park Station,Train,Exit,4650
2024-05,Albion Park Station,Train,Entry,7010
2024-05,Albion Park Station,Train,Exit,6080
2024-06,Albion Park Station,Train,Entry,5540
2024-06,Albion Park Station,Train,Exit,4900
2016-07,Allawah Station,Train,Entry,61510
2016-07,Allawah Station,Train,Exit,54840
2016-08,Allawah Station,Train,Entry,74430
2016-08,Allawah Station,Train,Exit,66680
2016-09,Allawah Station,Train,Entry,69360
